Names,Address
上尾運動公園陸上競技場,〒362-0034 埼玉県上尾市愛宕３丁目２８－３０
浦和駒場スタジアム,〒330-0051 埼玉県さいたま市浦和区駒場２丁目１－１
東松山陸上競技場,〒355-0005 埼玉県東松山市大字松山１４８１
熊谷スポーツ文化公園陸上競技場,〒360-0004 埼玉県熊谷市大字上川上３００
鴻巣市立陸上競技場,〒365-0028 埼玉県鴻巣市大字鴻巣６３４－２
熊谷運動公園陸上競技場,〒360-0832 埼玉県熊谷市小島１５７－１
川越運動公園陸上競技場,〒350-0848 埼玉県川越市下老袋３８８－１
吉見町ふれあい広場陸上競技場,〒355-0164 埼玉県比企郡吉見町小新井１４２
しらこばと運動公園競技場,〒343-0802 埼玉県越谷市小曽川７２９－１
青木町公園総合運動場内陸上競技場,〒332-0035 埼玉県川口市西青木４丁目８－１
朝霞中央公園陸上競技場,〒351-0016 埼玉県朝霞市青葉台１丁目９－１
新座市総合運動公園陸上競技場,〒352-0022 埼玉県新座市本多２丁目８－１６
仙元山運動公園陸上競技場,〒366-0801 埼玉県深谷市上野台２５６８
別所運動公園競技場,〒368-0054 埼玉県秩父市別所１６９５
