Names,Address,Prefecture
国立競技場,〒160-0013 東京都新宿区霞ヶ丘町１０－１,tokyo
舎人公園陸上競技場,〒121-0837 東京都足立区舎人公園１－１,tokyo
東京都立秋留台公園陸上競技場,〒197-0814 東京都あきる野市二宮６７３－１,tokyo
葛飾区総合スポーツセンター陸上競技場,〒124-0022 東京都葛飾区奥戸７－１７－１,tokyo
町田ＧＩＯＮスタジアム,〒195-0063 東京都町田市野津田町２０３５,tokyo
駒沢オリンピック公園総合運動場陸上競技場,〒154-0013 東京都世田谷区駒沢公園１－１,tokyo
台東リバーサイドスポーツセンター陸上競技場,〒111-0024 東京都台東区今戸１－１－１０,tokyo
江戸川区陸上競技場,〒134-0087 東京都江戸川区清新町２丁目１－１,tokyo
江東区夢の島競技場,〒136-0081 東京都江東区夢の島１－１－２,tokyo
八王子市上袖木公園陸上競技場,〒192-0373 東京都八王子市上柚木２丁目４０－１,tokyo
国立代々木競技場,〒150-0041 東京都渋谷区神南２丁目１－１,tokyo
八王子市富士森公園陸上競技場,〒193-0931 東京都八王子市台町２丁目２,tokyo
都立大井ふ頭中央海浜公園スポーツの森陸上競技場,〒140-0003 東京都品川区八潮４丁目１－１９,tokyo
多摩市立陸上競技場,〒206-0024 東京都多摩市諏訪４－９,tokyo
世田谷区総合運動場陸上競技場,〒157-0074 東京都世田谷区大蔵４－６－１,tokyo
武蔵野市立武蔵野陸上競技場,〒180-0001 東京都武蔵野市吉祥寺北町５丁目１１－２０,tokyo
立川公園陸上競技場,〒190-0022 東京都立川市錦町６丁目２９－６２,tokyo
瑞穂ビューパーク競技場,〒190-1221 東京都西多摩郡瑞穂町大字箱根ケ崎２４７５,tokyo
